paper_id,title,actual_decision,predicted_decision,quality_score,accept_probability,modify_probability,reject_probability,suggestions
PYEgC56flW,"Feature Learning for Interpretable, Performant Decision Trees",Accept (poster),Modify,40.4,0.0765,0.5953,0.3282,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
QpZubU4yD9,Advice Querying under Budget Constraint for Online Algorithms,Accept (poster),Accept,80.2,0.5958,0.3757,0.0284,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
BtAz4a5xDg,Pretraining task diversity and the emergence of non-Bayesian in-context learning for regression,Accept (poster),Modify,67.6,0.4107,0.4832,0.1061,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
axmY49ahVI,Experiment Planning with Function Approximation,Accept (poster),Modify,53.1,0.2132,0.5784,0.2085,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
g1dMYenhe4,MIMEx: Intrinsic Rewards from Masked Input Modeling,Accept (poster),Modify,41.8,0.0656,0.6401,0.2943,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
g78QqvhnDU,Prioritizing Samples in Reinforcement Learning with Reducible Loss,Accept (poster),Modify,54.0,0.1936,0.6301,0.1763,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eT1tMdAUoc,Spatially Resolved Gene Expression Prediction from Histology Images via Bi-modal Contrastive Learning,Accept (poster),Modify,35.5,0.0589,0.539,0.4021,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
tLTtqySDFb,Not All Neuro-Symbolic Concepts Are Created Equal: Analysis and Mitigation of Reasoning Shortcuts,Accept (poster),Modify,39.0,0.0746,0.5742,0.3511,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
2OcNWFHFpk,Group Robust Classification Without Any Group Information,Accept (poster),Modify,47.5,0.1449,0.6003,0.2549,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
ba4boN3W1n,Lie Point Symmetry and Physics-Informed Networks,Accept (poster),Modify,43.5,0.0695,0.665,0.2655,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
toYvRJ7Zmy,Derandomized novelty detection with FDR control via conformal e-values,Accept (poster),Modify,52.1,0.187,0.6069,0.2061,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lBhRTO2uWf,Adversarial Learning for Feature Shift Detection and Correction,Accept (poster),Modify,44.3,0.1346,0.5608,0.3046,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
B4tkwuzeiY,Grammar Prompting for Domain-Specific Language Generation with  Large Language Models,Accept (poster),Modify,51.5,0.15,0.6632,0.1868,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
8Oukmqfek2,Rethinking Gauss-Newton for learning over-parameterized models,Accept (poster),Modify,54.5,0.2376,0.5594,0.2029,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
50hs53Zb3w,Recovering Simultaneously Structured Data via Non-Convex Iteratively Reweighted Least Squares,Accept (poster),Modify,60.7,0.2431,0.6622,0.0947,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
gAQCx61chN,SOL: Sampling-based Optimal Linear bounding of arbitrary scalar functions,Accept (poster),Reject,32.2,0.0785,0.4432,0.4783,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
