paper_id,conference,split,title,actual_label,predicted_decision,accept_probability,reject_probability,xai_focus,suggestion_1,suggestion_2,suggestion_3,suggestions
1004.2626,arxiv.cs.ai_2007-2017,train,Propagating Conjunctions of ALLDIFFERENT Constraints,Accept,Modify,0.5277,0.4723,Methodology detail: 0.0; Conclusion Word Count: 169.0; Large Collaboration: 1.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Clarify the methodology with reproducible details. Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1005.1716,arxiv.cs.ai_2007-2017,train,Heuristics in Conflict Resolution,Reject,Accept,0.7228,0.2772,Has Conclusion: 0.0; Novelty framing: 23.0; Has Related Work: 0.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Find and fix the strongest negative reviewer concern.,Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1005.3502,arxiv.cs.ai_2007-2017,train,Using machine learning to make constraint solver implementation decisions,Reject,Reject,0.2636,0.7364,Conclusion Word Count: 347.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations."
1006.0991,arxiv.cs.ai_2007-2017,train,Variational Program Inference,Reject,Reject,0.2753,0.7247,Has Introduction: 0.0; Introduction detail: 0.0; Has Conclusion: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1010.3091,arxiv.cs.ai_2007-2017,train,Near–Optimal Bayesian Active Learning with Noisy Observations,Accept,Modify,0.4736,0.5264,Conclusion Word Count: 253.0; Citation coverage: 38.0; Has Related Work: 0.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,Find and fix the strongest negative reviewer concern.,Improve this paper aspect before submission. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1011.0041,arxiv.cs.ai_2007-2017,train,Predictive State Temporal Difference Learning,Accept,Modify,0.5074,0.4926,Conclusion Word Count: 275.0; Citation coverage: 27.0; Has Related Work: 0.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,"Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Improve related-work coverage with precise citations. Add implementation details, code/data notes, and hyperparameters. Improve readability by simplifying long sentences. Find and fix the strongest negative reviewer concern."
1012.1643,arxiv.cs.ai_2007-2017,train,Process Makna - A Semantic Wiki for Scientific Workflows,Reject,Reject,0.1782,0.8218,Conclusion Word Count: 524.0; Methodology detail: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,"Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Clarify the methodology with reproducible details. Strengthen experiments with datasets, metrics, and comparisons. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1012.1648,arxiv.cs.ai_2007-2017,train,Analysis of Cancer Omics Data In A Semantic Web Framework,Reject,Reject,0.2241,0.7759,Conclusion Word Count: 280.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1012.1654,arxiv.cs.ai_2007-2017,train,Using Semantic Wikis for Structured Argument in Medical Domain,Reject,Reject,0.0555,0.9445,Has Introduction: 0.0; Introduction detail: 0.0; Paper length: 1020.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Clarify the methodology with reproducible details.,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Clarify the methodology with reproducible details."
1012.1659,arxiv.cs.ai_2007-2017,train,First steps in the logic-based assessment of post-composed phenotypic descriptions,Reject,Reject,0.1236,0.8764,Paper length: 1007.0; Conclusion Word Count: 168.0; Has Experiments: 0.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1012.1743,arxiv.cs.ai_2007-2017,train,Scientific Collaborations: Principles of WikiBridge Design,Reject,Reject,0.2389,0.7611,Paper length: 1072.0; Methodology detail: 0.0; Has Experiments: 0.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Clarify the methodology with reproducible details. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1101.5632,arxiv.cs.ai_2007-2017,train,Active Markov Information-Theoretic Path Planning for Robotic Environmental Sensing,Reject,Modify,0.3697,0.6303,Methodology detail: 0.0; Conclusion Word Count: 277.0; Limitation discussion: 3.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern."
1102.0714,arxiv.cs.ai_2007-2017,train,Una arquitectura para la evaluación de sistemas inteligentes,Reject,Reject,0.1487,0.8513,Has Introduction: 0.0; Conclusion Word Count: 988.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1104.0128,arxiv.cs.ai_2007-2017,train,Towards an automated query modification assistant,Reject,Reject,0.3131,0.6869,Conclusion Word Count: 174.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern."
1104.325,arxiv.cs.ai_2007-2017,train,Adding noise to the input of a model trained with a regularized objective,Reject,Modify,0.3591,0.6409,Title Word Count: 13.0; Conclusion Word Count: 117.0; Paper length: 3327.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern."
1104.4153,arxiv.cs.ai_2007-2017,train,Learning invariant features through local space contraction,Reject,Modify,0.4249,0.5751,Methodology detail: 0.0; Conclusion Word Count: 174.0; Large Collaboration: 1.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Clarify the methodology with reproducible details. Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1104.491,arxiv.cs.ai_2007-2017,train,Hybrid Tractable Classes of Binary Quantied Constraint Sa ,Accept,Reject,0.0793,0.9207,Has Introduction: 0.0; Introduction detail: 0.0; Has Conclusion: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1105.4224,arxiv.cs.ai_2007-2017,train,On A Semi-Automatic Method for Generating Composition Tables,Reject,Reject,0.2089,0.7911,Conclusion Word Count: 318.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations."
1105.5464,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4718,0.5282,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1105.5667,arxiv.cs.ai_2007-2017,train,Complexity of and Algorithms for Borda Manipulation,Accept,Modify,0.6069,0.3931,Conclusion Word Count: 121.0; Has Related Work: 0.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Make the novelty and contribution claims more explicit. Address reviewer concerns that lowered recommendation scores. Add implementation details, code/data notes, and hyperparameters."
1105.6314,arxiv.cs.ai_2007-2017,train,Activity-Based Search for Black-Box Contraint-Programming Solvers,Reject,Modify,0.4094,0.5906,Methodology detail: 0.0; Conclusion Word Count: 106.0; Limitation discussion: 2.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Add limitations, failure cases, and future work. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1106.0171,arxiv.cs.ai_2007-2017,train,Proposal of Pattern Recognition as a necessary and sufficient principle to Cognitive Science,Reject,Reject,0.1503,0.8497,Conclusion Word Count: 255.0; Title Word Count: 13.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1106.0666,arxiv.cs.ai_2007-2017,train,"Experiments with Infinite-Horizon, Policy-Gradient Estimation",Reject,Accept,0.654,0.346,Conclusion Word Count: 399.0; Has Related Work: 0.0; Reproducibility evidence: 0.0,Improve this paper aspect before submission.,"Add implementation details, code/data notes, and hyperparameters.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1106.0668,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.2846,0.7154,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1106.0669,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4077,0.5923,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.0672,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4989,0.5011,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.0679,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.469,0.531,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.0681,arxiv.cs.ai_2007-2017,train,Accelerating Reinforcement Learning through Implicit Imitation,Reject,Accept,0.8295,0.1705,Has Conclusion: 0.0; Novelty framing: 32.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
1106.1799,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.0771,0.9229,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,,,Improve this paper aspect before submission.
1106.1813,arxiv.cs.ai_2007-2017,train,SMOTE: Synthetic Minority Over-sampling Technique,Reject,Modify,0.5946,0.4054,Methodology detail: 0.0; Conclusion Word Count: 116.0; Lowest recommendation: 0.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,"Clarify the methodology with reproducible details. Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
1106.1814,arxiv.cs.ai_2007-2017,train,When do Numbers Really Matter?,Reject,Reject,0.2441,0.7559,Contains Question: 1.0; Methodology detail: 0.0; Conclusion Word Count: 172.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,"Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Clarify the methodology with reproducible details. Strengthen experiments with datasets, metrics, and comparisons."
1106.1816,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.5567,0.4433,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.1818,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.2349,0.7651,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,,,Improve this paper aspect before submission.
1106.1819,arxiv.cs.ai_2007-2017,train,A Knowledge Compilation Map,Reject,Reject,0.3447,0.6553,Methodology detail: 0.0; Conclusion Word Count: 251.0; Has Experiments: 0.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve readability by simplifying long sentences."
1106.182,arxiv.cs.ai_2007-2017,train,Inferring Strategies for Sentence Ordering in Multidocument News Summarization,Reject,Modify,0.4919,0.5081,Conclusion Word Count: 440.0; Novelty framing: 43.0; Title Word Count: 9.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add implementation details, code/data notes, and hyperparameters."
1106.1821,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4833,0.5167,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.1822,arxiv.cs.ai_2007-2017,train,Efficient Solution Algorithms for Factored MDPs,Reject,Modify,0.6422,0.3578,Conclusion Word Count: 922.0; Novelty framing: 28.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
1106.2489,arxiv.cs.ai_2007-2017,train,Eliciting Forecasts from Self-interested Experts: Scoring Rules for Decision Makers,Reject,Modify,0.3615,0.6385,Has Conclusion: 0.0; Has Experiments: 0.0; Multi Author: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1106.4083,arxiv.cs.ai_2007-2017,train,Symmetry-Based Search Space Reduction For Grid Maps,Reject,Reject,0.2608,0.7392,Methodology detail: 0.0; Conclusion Word Count: 236.0; Multi Author: 0.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,Clarify the methodology with reproducible details. Improve this paper aspect before submission. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern.
1106.4569,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4888,0.5112,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1106.457,arxiv.cs.ai_2007-2017,train,Competitive Safety Analysis: Robust Decision-Making in Multi-Agent Systems,Reject,Reject,0.2255,0.7745,Has Conclusion: 0.0; Methodology detail: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,"Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Clarify the methodology with reproducible details. Strengthen experiments with datasets, metrics, and comparisons."
1106.5316,arxiv.cs.ai_2007-2017,train,Online cake cutting,Reject,Modify,0.5443,0.4557,Methodology detail: 0.0; Conclusion Word Count: 153.0; Multi Author: 0.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Add implementation details, code/data notes, and hyperparameters.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern."
1106.5448,arxiv.cs.ai_2007-2017,train,Dominating Manipulations in Voting with Partial Information,Accept,Modify,0.3997,0.6003,Methodology detail: 0.0; Has Experiments: 0.0; Conclusion Word Count: 144.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1106.5998,arxiv.cs.ai_2007-2017,train,The 3rd International Planning Competition: Results and Analysis,Reject,Modify,0.3878,0.6122,Conclusion Word Count: 820.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Make the novelty and contribution claims more explicit."
1107.0018,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.3436,0.6564,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1107.0021,arxiv.cs.ai_2007-2017,train,Decentralized Supply Chain Formation: A Market Protocol and Competitive Equilibrium Analysis,Reject,Modify,0.4453,0.5547,Conclusion Word Count: 654.0; Limitation discussion: 3.0; Title Word Count: 11.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Add limitations, failure cases, and future work. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern."
1107.0022,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.5005,0.4995,Average Title Word Length: 0.0; Has Conclusion: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work."
1107.0023,arxiv.cs.ai_2007-2017,train,CP-nets: A Tool for Representing and Reasoning with Conditional Ceteris Paribus Preference Statements,Reject,Modify,0.4059,0.5941,Conclusion Word Count: 587.0; Title Word Count: 13.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1107.0026,arxiv.cs.ai_2007-2017,train,,Reject,Modify,0.4887,0.5113,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1107.0029,arxiv.cs.ai_2007-2017,train,A Personalized System for Conversational Recommendations,Reject,Modify,0.5406,0.4594,Conclusion Word Count: 439.0; Has Related Work: 0.0; Novelty framing: 22.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,"Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1107.003,arxiv.cs.ai_2007-2017,train,Coherent Integration of Databases by Abductive Logic Programming,Reject,Modify,0.418,0.582,Conclusion Word Count: 630.0; Has Experiments: 0.0; Limitation discussion: 3.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Add limitations, failure cases, and future work. Strengthen experiments with datasets, metrics, and comparisons. Find and fix the strongest negative reviewer concern."
1107.0031,arxiv.cs.ai_2007-2017,train,Grounded Semantic Composition for Visual Scenes,Reject,Modify,0.469,0.531,Has Conclusion: 0.0; Has Experiments: 0.0; Limitation discussion: 3.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Add limitations, failure cases, and future work. Strengthen experiments with datasets, metrics, and comparisons. Clarify the methodology with reproducible details. Find and fix the strongest negative reviewer concern."
1107.0034,arxiv.cs.ai_2007-2017,train,Price Prediction in a Trading Agent Competition,Reject,Reject,0.2253,0.7747,Conclusion Word Count: 616.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work. Add implementation details, code/data notes, and hyperparameters."
1107.0035,arxiv.cs.ai_2007-2017,train,Compositional Model Repositories via Dynamic Constraint Satisfaction with Order-of-Magnitude Preferences,Reject,Modify,0.3941,0.6059,Conclusion Word Count: 508.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Make the novelty and contribution claims more explicit."
1107.0037,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.1449,0.8551,Average Title Word Length: 0.0; Has Introduction: 0.0; Introduction detail: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1107.0042,arxiv.cs.ai_2007-2017,train,Restricted Value Iteration: Theory and Algorithms,Reject,Accept,0.6906,0.3094,Conclusion Word Count: 190.0; Novelty framing: 30.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
